true_label,predicted_label,count,pair_label
4,9,19,4 → 9
7,1,18,7 → 1
2,7,14,2 → 7
3,5,13,3 → 5
8,3,13,8 → 3
5,3,12,5 → 3
8,5,11,8 → 5
7,9,10,7 → 9
9,4,9,9 → 4
2,0,9,2 → 0
9,7,8,9 → 7
8,0,7,8 → 0
3,7,7,3 → 7
2,1,7,2 → 1
9,3,7,9 → 3
8,4,5,8 → 4
4,6,5,4 → 6
4,1,5,4 → 1
5,6,5,5 → 6
8,9,5,8 → 9
5,9,4,5 → 9
6,0,4,6 → 0
6,4,4,6 → 4
5,0,4,5 → 0
3,9,4,3 → 9
4,7,4,4 → 7
3,8,4,3 → 8
8,7,4,8 → 7
3,2,4,3 → 2
9,1,4,9 → 1
9,5,4,9 → 5
7,2,4,7 → 2
8,6,3,8 → 6
8,2,3,8 → 2
5,8,3,5 → 8
9,0,3,9 → 0
6,1,3,6 → 1
6,5,3,6 → 5
9,2,2,9 → 2
9,8,2,9 → 8
7,4,2,7 → 4
2,3,2,2 → 3
0,6,2,0 → 6
1,2,2,1 → 2
2,8,2,2 → 8
5,4,2,5 → 4
4,8,1,4 → 8
3,6,1,3 → 6
3,4,1,3 → 4
3,1,1,3 → 1
5,7,1,5 → 7
2,6,1,2 → 6
5,1,1,5 → 1
0,7,1,0 → 7
0,2,1,0 → 2
9,6,1,9 → 6
0,5,1,0 → 5
0,1,1,0 → 1
