,precision,recall,f1-score,support
0,0.9532803180914513,0.9785714285714285,0.9657603222557906,980.0
1,0.9618717504332756,0.9779735682819384,0.9698558322411533,1135.0
2,0.93,0.9011627906976745,0.9153543307086615,1032.0
3,0.9048086359175662,0.9128712871287129,0.9088220798422868,1010.0
4,0.934010152284264,0.9368635437881874,0.9354346720894764,982.0
5,0.8982658959537573,0.8710762331838565,0.8844621513944223,892.0
6,0.9422680412371134,0.954070981210856,0.9481327800829875,958.0
7,0.9349112426035503,0.9221789883268483,0.9285014691478942,1028.0
8,0.8823529411764706,0.87782340862423,0.8800823468862584,974.0
9,0.9086444007858546,0.9167492566897919,0.9126788357178096,1009.0
accuracy,0.926,0.926,0.926,0.926
macro avg,0.9250413378483303,0.9249341486503525,0.924908482036674,10000.0
weighted avg,0.9258022525482446,0.926,0.9258228407082144,10000.0
