,precision,recall,f1-score,support
0,0.9808080808080808,0.9908163265306122,0.9857868020304569,980.0
1,0.9868305531167691,0.9903083700440528,0.9885664028144239,1135.0
2,0.976721629485936,0.9757751937984496,0.9762481822588464,1032.0
3,0.9763546798029556,0.9811881188118812,0.9787654320987654,1010.0
4,0.9786150712830958,0.9786150712830958,0.9786150712830958,982.0
5,0.9807692307692307,0.9719730941704036,0.9763513513513513,892.0
6,0.9883966244725738,0.9780793319415448,0.9832109129066107,958.0
7,0.9851778656126482,0.9698443579766537,0.9774509803921568,1028.0
8,0.9633774160732451,0.9722792607802875,0.9678078691875319,974.0
9,0.9704724409448819,0.977205153617443,0.9738271604938271,1009.0
accuracy,0.9788,0.9788,0.9788,0.9788
macro avg,0.9787523592369416,0.9786084278954424,0.9786630164817065,10000.0
weighted avg,0.9788368807319332,0.9788,0.9788012681035105,10000.0
