true_label,predicted_label,count,pair_label
4,9,11,4 → 9
8,3,8,8 → 3
5,3,8,5 → 3
2,7,6,2 → 7
2,4,6,2 → 4
7,2,6,7 → 2
5,8,6,5 → 8
3,7,5,3 → 7
2,8,5,2 → 8
6,5,5,6 → 5
7,9,5,7 → 9
6,4,4,6 → 4
5,6,4,5 → 6
4,7,4,4 → 7
3,8,4,3 → 8
9,3,4,9 → 3
9,4,4,9 → 4
6,0,4,6 → 0
9,8,4,9 → 8
1,2,4,1 → 2
1,8,4,1 → 8
1,6,3,1 → 6
4,0,3,4 → 0
8,4,3,8 → 4
5,9,3,5 → 9
4,2,3,4 → 2
8,2,3,8 → 2
3,5,3,3 → 5
2,0,3,2 → 0
3,2,3,3 → 2
2,3,3,2 → 3
6,1,2,6 → 1
8,0,2,8 → 0
8,5,2,8 → 5
8,7,2,8 → 7
6,8,2,6 → 8
8,9,2,8 → 9
9,0,2,9 → 0
2,9,2,2 → 9
9,1,2,9 → 1
3,9,2,3 → 9
9,7,2,9 → 7
5,7,2,5 → 7
0,6,2,0 → 6
1,7,2,1 → 7
5,0,2,5 → 0
9,5,2,9 → 5
4,6,2,4 → 6
2,6,2,2 → 6
0,5,1,0 → 5
8,6,1,8 → 6
0,4,1,0 → 4
6,3,1,6 → 3
0,7,1,0 → 7
7,8,1,7 → 8
0,8,1,0 → 8
7,1,1,7 → 1
0,9,1,0 → 9
1,0,1,1 → 0
6,2,1,6 → 2
1,3,1,1 → 3
0,3,1,0 → 3
4,8,1,4 → 8
4,3,1,4 → 3
0,1,1,0 → 1
